"country","month","ur"
"Bulgaria","1997-07",NA
"Bulgaria","1997-08",NA
"Bulgaria","1997-09",NA
"Bulgaria","1997-10",NA
"Bulgaria","1997-11",NA
"Bulgaria","1997-12",NA
"Bulgaria","1998-01",NA
"Bulgaria","1998-02",NA
"Bulgaria","1998-03",NA
"Bulgaria","1998-04",NA
"Bulgaria","1998-05",NA
"Bulgaria","1998-06",NA
"Bulgaria","1998-07",NA
"Bulgaria","1998-08",NA
"Bulgaria","1998-09",NA
"Bulgaria","1998-10",NA
"Bulgaria","1998-11",NA
"Bulgaria","1998-12",NA
"Bulgaria","1999-01",NA
"Bulgaria","1999-02",NA
"Bulgaria","1999-03",NA
"Bulgaria","1999-04",NA
"Bulgaria","1999-05",NA
"Bulgaria","1999-06",NA
"Bulgaria","1999-07",NA
"Bulgaria","1999-08",NA
"Bulgaria","1999-09",NA
"Bulgaria","1999-10",NA
"Bulgaria","1999-11",NA
"Bulgaria","1999-12",NA
"Bulgaria","2000-01",14.3
"Bulgaria","2000-02",14.7
"Bulgaria","2000-03",15.2
"Bulgaria","2000-04",15.7
"Bulgaria","2000-05",16
"Bulgaria","2000-06",16.3
"Bulgaria","2000-07",16.8
"Bulgaria","2000-08",17.2
"Bulgaria","2000-09",17.5
"Bulgaria","2000-10",17.7
"Bulgaria","2000-11",17.9
"Bulgaria","2000-12",18.1
"Bulgaria","2001-01",18.5
"Bulgaria","2001-02",18.8
"Bulgaria","2001-03",19.2
"Bulgaria","2001-04",19.9
"Bulgaria","2001-05",20.1
"Bulgaria","2001-06",20.1
"Bulgaria","2001-07",20
"Bulgaria","2001-08",19.9
"Bulgaria","2001-09",19.8
"Bulgaria","2001-10",19.7
"Bulgaria","2001-11",19.9
"Bulgaria","2001-12",19.8
"Bulgaria","2002-01",19.4
"Bulgaria","2002-02",19.3
"Bulgaria","2002-03",18.9
"Bulgaria","2002-04",18.7
"Bulgaria","2002-05",18.5
"Bulgaria","2002-06",18.3
"Bulgaria","2002-07",18.3
"Bulgaria","2002-08",18.3
"Bulgaria","2002-09",18.1
"Bulgaria","2002-10",17.8
"Bulgaria","2002-11",16.9
"Bulgaria","2002-12",15.9
"Bulgaria","2003-01",15.6
"Bulgaria","2003-02",14.9
"Bulgaria","2003-03",14.6
"Bulgaria","2003-04",14.3
"Bulgaria","2003-05",14.2
"Bulgaria","2003-06",13.9
"Bulgaria","2003-07",13.6
"Bulgaria","2003-08",13.3
"Bulgaria","2003-09",13
"Bulgaria","2003-10",12.7
"Bulgaria","2003-11",12.7
"Bulgaria","2003-12",12.7
"Bulgaria","2004-01",12.8
"Bulgaria","2004-02",12.8
"Bulgaria","2004-03",12.7
"Bulgaria","2004-04",12.6
"Bulgaria","2004-05",12.3
"Bulgaria","2004-06",12
"Bulgaria","2004-07",11.6
"Bulgaria","2004-08",11.5
"Bulgaria","2004-09",11.5
"Bulgaria","2004-10",11.8
"Bulgaria","2004-11",11.7
"Bulgaria","2004-12",11.5
"Bulgaria","2005-01",11.2
"Bulgaria","2005-02",10.9
"Bulgaria","2005-03",10.6
"Bulgaria","2005-04",10.4
"Bulgaria","2005-05",10.1
"Bulgaria","2005-06",9.9
"Bulgaria","2005-07",9.7
"Bulgaria","2005-08",9.7
"Bulgaria","2005-09",9.7
"Bulgaria","2005-10",9.9
"Bulgaria","2005-11",9.8
"Bulgaria","2005-12",9.7
"Bulgaria","2006-01",9.5
"Bulgaria","2006-02",9.2
"Bulgaria","2006-03",9.1
"Bulgaria","2006-04",9
"Bulgaria","2006-05",9.1
"Bulgaria","2006-06",9.2
"Bulgaria","2006-07",9.3
"Bulgaria","2006-08",9.3
"Bulgaria","2006-09",9
"Bulgaria","2006-10",8.6
"Bulgaria","2006-11",8.5
"Bulgaria","2006-12",8.2
"Bulgaria","2007-01",7.9
"Bulgaria","2007-02",7.5
"Bulgaria","2007-03",7.3
"Bulgaria","2007-04",7.1
"Bulgaria","2007-05",7
"Bulgaria","2007-06",6.9
"Bulgaria","2007-07",7
"Bulgaria","2007-08",6.9
"Bulgaria","2007-09",6.7
"Bulgaria","2007-10",6.4
"Bulgaria","2007-11",6.1
"Bulgaria","2007-12",6.1
"Bulgaria","2008-01",6.1
"Bulgaria","2008-02",6.1
"Bulgaria","2008-03",5.9
"Bulgaria","2008-04",5.9
"Bulgaria","2008-05",5.9
"Bulgaria","2008-06",5.7
"Bulgaria","2008-07",5.6
"Bulgaria","2008-08",5.5
"Bulgaria","2008-09",5.3
"Bulgaria","2008-10",5.1
"Bulgaria","2008-11",5
"Bulgaria","2008-12",5.3
"Bulgaria","2009-01",6.9
"Bulgaria","2009-02",7
"Bulgaria","2009-03",7.1
"Bulgaria","2009-04",7.2
"Bulgaria","2009-05",7.4
"Bulgaria","2009-06",7.7
"Bulgaria","2009-07",8.1
"Bulgaria","2009-08",8.4
"Bulgaria","2009-09",8.6
"Bulgaria","2009-10",8.7
"Bulgaria","2009-11",9
"Bulgaria","2009-12",9.5
"Bulgaria","2010-01",10.2
"Bulgaria","2010-02",10.7
"Bulgaria","2010-03",10.8
"Bulgaria","2010-04",11
"Bulgaria","2010-05",11
"Bulgaria","2010-06",11.1
"Bulgaria","2010-07",11.1
"Bulgaria","2010-08",11.3
"Bulgaria","2010-09",11.7
"Bulgaria","2010-10",12.1
"Bulgaria","2010-11",12.5
"Bulgaria","2010-12",12.6
"Bulgaria","2011-01",12.7
"Bulgaria","2011-02",12.5
"Bulgaria","2011-03",12.3
"Bulgaria","2011-04",12.2
"Bulgaria","2011-05",12.2
"Bulgaria","2011-06",12.1
"Bulgaria","2011-07",12
"Bulgaria","2011-08",12.1
"Bulgaria","2011-09",12.1
"Bulgaria","2011-10",12.2
"Bulgaria","2011-11",12.5
"Bulgaria","2011-12",12.9
"Bulgaria","2012-01",13.1
"Bulgaria","2012-02",13.2
"Bulgaria","2012-03",13.2
"Bulgaria","2012-04",13.2
"Bulgaria","2012-05",13.2
"Bulgaria","2012-06",13.3
"Bulgaria","2012-07",13.4
"Bulgaria","2012-08",13.2
"Bulgaria","2012-09",13.2
"Bulgaria","2012-10",13.3
"Bulgaria","2012-11",13.5
"Bulgaria","2012-12",13.6
"Bulgaria","2013-01",14
"Bulgaria","2013-02",14.1
"Bulgaria","2013-03",14.2
"Bulgaria","2013-04",14.1
"Bulgaria","2013-05",13.8
"Bulgaria","2013-06",13.7
"Bulgaria","2013-07",13.7
"Bulgaria","2013-08",13.6
"Bulgaria","2013-09",13.7
"Bulgaria","2013-10",14.1
"Bulgaria","2013-11",14.1
"Bulgaria","2013-12",14.1
"Bulgaria","2014-01",13.7
"Bulgaria","2014-02",13.3
"Bulgaria","2014-03",13
"Bulgaria","2014-04",12.5
"Bulgaria","2014-05",12.2
"Bulgaria","2014-06",12.1
"Bulgaria","2014-07",12.3
"Bulgaria","2014-08",12.3
"Bulgaria","2014-09",12.4
"Bulgaria","2014-10",12.1
"Bulgaria","2014-11",11.7
"Bulgaria","2014-12",11.3
"Bulgaria","2015-01",11.1
"Bulgaria","2015-02",10.9
"Bulgaria","2015-03",11
"Bulgaria","2015-04",11
"Bulgaria","2015-05",10.8
