year,month,imf_shock
1998,1,
1998,2,
1998,3,0.10505658669834966
1998,4,0.08729058118694644
1998,5,-0.0676160771909032
1998,6,-0.10610433665604269
1998,7,-0.08599649803079343
1998,8,0.02071015596720621
1998,9,0.045427646464212164
1998,10,0.10187562883226592
1998,11,0.04075236898661209
1998,12,-0.026328123606123466
1999,1,0.013754344851377562
1999,2,-0.157144023668044
1999,3,0.018659204452637274
1999,4,0.0871694792567513
1999,5,-0.019660262814150065
1999,6,-0.09920339514698343
1999,7,-0.01862354227353925
1999,8,-0.1236401075404623
1999,9,0.09944765384507734
1999,10,0.13113684998891473
1999,11,-0.129195192166973
1999,12,0.02451252123401793
2000,1,-0.010570532328813163
2000,2,0.010564270891269779
2000,3,0.1095996924437699
2000,4,0.07228445983252998
2000,5,-0.11565908534677354
2000,6,-0.14817035527096495
2000,7,-0.01255147884627661
2000,8,-0.014684359461713247
2000,9,-0.014344030687152377
2000,10,0.046484200232282155
2000,11,0.09742244406265037
2000,12,0.07569769507446442
2001,1,-0.14344867147706694
2001,2,-0.08499848947442763
2001,3,0.06290787193043701
2001,4,0.08467557785482714
2001,5,-0.059963453784528345
2001,6,-0.08304844576004322
2001,7,-0.016226383593647076
2001,8,0.013731554081926018
2001,9,-0.014283805940746396
2001,10,0.13197988814502565
2001,11,-0.09075014580751303
2001,12,0.006483110168200279
2002,1,0.13913451723184161
2002,2,-0.005188708107895387
2002,3,0.19819728333456538
2002,4,0.0445679425838438
2002,5,-0.15821053693332562
2002,6,-0.14312591048232068
2002,7,0.04774849650096437
2002,8,-0.02181544649918085
2002,9,-0.012565516168499888
2002,10,0.1640864707377646
2002,11,-0.12095578474955553
2002,12,0.031673175680351676
2003,1,-0.19125050771951194
2003,2,0.13852196603212616
2003,3,-0.09927611177716789
2003,4,-0.06345202111215267
2003,5,0.0439794312486962
2003,6,0.021228396998561484
2003,7,-0.024560413715038736
2003,8,0.01958628446817585
2003,9,-0.012767897338778336
2003,10,0.04681850851932307
