year,month,bh_oil_supply_shock,bh_oil_price_exp_shock
2008,10,3.562358105,-0.06582048
2008,11,2.120779932,-0.063822963
2008,12,2.096689251,-0.102648082
2009,1,-0.198294584,-0.147314992
2009,2,2.515791282,-0.088661966
2009,3,-0.62308659,-0.058977595
2009,4,1.452377488,0.003817297
2009,5,-0.010189979,0.021710826
2009,6,-0.643977202,0.00231856
2009,7,1.075452702,-0.013814394
2009,8,-2.085784928,-0.017532555
2009,9,0.454978556,-0.000995435
2009,10,-0.307889601,0.00595617
2009,11,-0.072714773,0.061376752
2009,12,-1.123912897,-0.015597519
2010,1,-0.240486025,0.043243874
2010,2,-0.153293962,0.016793437
2010,3,0.097262987,0.052638716
2010,4,-0.700105148,0.03752498
2010,5,0.395234169,-0.020463867
2010,6,-1.402300776,-0.016444976
2010,7,-0.211550018,0.021810098
2010,8,-0.593499668,0.030356672
2010,9,-0.421724572,-0.007536938
2010,10,-0.898951456,0.020285852
2010,11,-0.158532584,0.004803142
2010,12,-0.780141649,-0.013011263
2011,1,0.001244841,0.016271141
2011,2,-1.828502257,-0.062535714
2011,3,-2.142073476,0.045125839
2011,4,-0.243784952,0.02393357
2011,5,-0.627365752,-0.012501888
2011,6,0.327824584,-0.055544765
2011,7,0.034766807,-0.009000931
2011,8,1.049228476,-0.013489422
2011,9,-1.975668976,-0.064739274
2011,10,-0.432817171,0.030324282
2011,11,0.205323254,0.057902345
2011,12,0.319504062,0.034847615
2012,1,-0.096509658,0.031860157
2012,2,-0.18423067,0.000789543
2012,3,-0.087795948,0.040575776
2012,4,1.763996203,0.04676669
2012,5,0.29032119,-0.05423568
2012,6,0.615525113,-0.024794858
2012,7,0.401770931,0.008934845
2012,8,-0.006574789,0.073049174
2012,9,-0.879993232,-0.027832677
2012,10,0.845665114,-4.42E-03
2012,11,0.062702638,-0.034114895
2012,12,-0.053422253,0.033503901
2013,1,-1.228030232,0.041126979
2013,2,-0.761034453,0.0292543
2013,3,0.349019756,-0.000719484
2013,4,1.184340916,0.015794462
2013,5,-0.295979661,-0.003880052
2013,6,0.566755788,0.081757364
2013,7,0.132223674,0.060894715
2013,8,-1.208108553,0.0263484
2013,9,-0.949305383,0.043250658
2013,10,0.272186504,0.052438683
2013,11,0.591613642,-0.003081476
2013,12,-0.043975125,0.006182691
2014,1,0.421243128,0.024473519
2014,2,-0.324668948,0.017710916
2014,3,-0.406234036,0.06377369
2014,4,0.484886164,0.056057174
2014,5,0.081461524,0.025888412
2014,6,-0.088174213,0.033913055
2014,7,0.279660586,0.040935119
2014,8,0.083838897,0.011955869
2014,9,1.171738573,0.001143927
2014,10,1.207375961,0.003036584
2014,11,0.395765017,-0.02687653
2014,12,2.83005361,0.016384936
2015,1,0.366287611,-0.051151573
2015,2,-0.996274927,-0.04487817
2015,3,2.842230046,0.015379683
2015,4,0.006656849,0.048567229
2015,5,0.043173558,-0.007657412
2015,6,1.196146383,0.043754468
2015,7,1.383101221,-0.029938697
2015,8,0.932539116,-0.037819231
2015,9,-0.631974709,-0.01833652
2015,10,0.015419431,0.005582328
2015,11,1.250853749,-0.027772791
2015,12,1.089949569,-0.009648776
2016,1,1.259152042,-0.027978455
2016,2,-1.364776236,-0.078155471
2016,3,-0.518846461,-0.012316961
2016,4,-0.0630277,0.06944468
2016,5,-2.031694081,-0.003457972
2016,6,0.148239549,-0.001425025
2016,7,0.869317013,-0.021970102
2016,8,-0.730090022,-0.047185834
2016,9,0.131912606,0.002229444
2016,10,0.440331435,-0.019442798
2016,11,1.39689411,-0.003066486
2016,12,-1.977023419,-0.080174081
2017,1,-0.584293728,0.068624534
