"month","neer","dln_neer"
"2005-01",112.991,-1.33670851093619
"2005-02",111.9164,-0.955600551557279
"2005-03",112.8306,0.81354148637045
"2005-04",111.833,-0.888089175760776
"2005-05",110.5595,-1.14528495353783
"2005-06",107.516,-2.79141638760132
"2005-07",107.6847,0.156783908748448
"2005-08",108.3536,0.619244029865307
"2005-09",107.7984,-0.513713702380691
"2005-10",107.2359,-0.523173543027955
"2005-11",106.2553,-0.91863917205286
"2005-12",106.2812,0.0243722844106564
"2006-01",106.9977,0.67189271462853
"2006-02",105.9789,-0.956732120987791
"2006-03",106.853,0.821404042021179
"2006-04",108.072,1.13436135532705
"2006-05",109.9692,1.74026549177171
"2006-06",110.5922,0.564923560387687
"2006-07",110.7293,0.123892181768692
"2006-08",110.6851,-0.0399251363842446
"2006-09",110.4813,-0.184295677538415
"2006-10",109.7662,-0.649362660471642
"2006-11",110.4794,0.647642897635947
"2006-12",111.6341,1.03974805910969
"2007-01",110.7549,-0.790690709133202
"2007-02",111.1086,0.318844965169163
"2007-03",111.9794,0.780682441619795
"2007-04",112.7639,0.698132657395689
"2007-05",112.5123,-0.223370337933382
"2007-06",111.9725,-0.480924356937518
"2007-07",112.6436,0.597554669430789
"2007-08",112.6142,-0.0261034247577285
"2007-09",113.62,0.889172925027015
"2007-10",114.4356,0.715267221871052
"2007-11",116.2815,1.60017561565819
"2007-12",116.0947,-0.160773814389792
"2008-01",116.7259,0.542221389739961
"2008-02",116.5314,-0.166768667114248
"2008-03",119.9774,2.91426271251307
"2008-04",121.2854,1.08430542570499
"2008-05",120.4791,-0.667015206465305
"2008-06",120.2628,-0.179694567670197
"2008-07",120.5157,0.210068667261876
"2008-08",117.6391,-2.4158571702575
"2008-09",116.2337,-1.20186436148488
"2008-10",113.6054,-2.28717792140971
"2008-11",112.9239,-0.6016899853857
"2008-12",118.9678,5.21387277459349
"2009-01",118.9776,0.00823718382916283
"2009-02",118.0339,-0.796336875700199
"2009-03",120.6046,2.15455548439829
"2009-04",119.3507,-1.04512083156276
"2009-05",119.8814,0.443670285500453
"2009-06",121.1106,1.0201256969296
"2009-07",120.9637,-0.121367710683984
"2009-08",121.0734,0.0906472664824243
"2009-09",122.4899,1.16316043535223
"2009-10",123.5092,0.828706961453651
"2009-11",123.4525,-0.0459180520673286
"2009-12",122.1797,-1.0363554875024
"2010-01",119.4983,-2.21907664959717
"2010-02",116.4519,-2.58238331162506
"2010-03",115.2781,-1.01308422672526
"2010-04",113.4893,-1.56389105957366
"2010-05",109.783,-3.32028692193198
"2010-06",107.5394,-2.06483980837495
"2010-07",109.9168,2.18664239221162
"2010-08",109.6319,-0.259532540996155
"2010-09",110.0413,0.372735931365131
"2010-10",114.0476,3.57601552345148
"2010-11",112.7201,-1.17081503629235
"2010-12",110.1632,-2.29448520890463
"2011-01",110.1881,0.0226002752023113
"2011-02",111.5948,1.26855484725334
"2011-03",113.4102,1.613688045905
"2011-04",115.2098,1.57434797494336
"2011-05",114.3235,-0.772266511982256
"2011-06",114.4812,0.13784684053384
"2011-07",113.4075,-0.942309070075442
"2011-08",113.8371,0.378095243435883
"2011-09",112.9295,-0.800474890285141
"2011-10",113.483,0.488931576336604
"2011-11",112.9271,-0.491056818636437
"2011-12",111.0678,-1.66016521271564
"2012-01",108.6999,-2.15499514906101
"2012-02",109.1663,0.428153345939108
"2012-03",109.4052,0.218601322802847
"2012-04",109.1991,-0.188559933235943
"2012-05",107.9351,-1.16427009486566
"2012-06",107.2295,-0.655872322295536
"2012-07",105.0737,-2.03093886474983
"2012-08",105.0737,0
"2012-09",107.4547,2.24073547074202
"2012-10",108.0577,0.559598031090314
"2012-11",107.4776,-0.538288995559899
"2012-12",109.0719,1.47248440322123
"2013-01",110.6004,1.39164079237961
"2013-02",111.7373,1.02268747847614
"2013-03",109.9198,-1.63995715356942
"2013-04",110.0982,0.162168585386091
"2013-05",110.2883,0.172515146932373
"2013-06",112.3778,1.8768562764869
"2013-07",112.3625,-0.01361571558256
"2013-08",113.8437,1.30962031107611
"2013-09",113.7642,-0.0698569805644311
"2013-10",114.7204,0.836997839094611
"2013-11",114.555,-0.144280658712326
"2013-12",116.0965,1.33666848154812
"2014-01",116.1164,0.0171394440608097
"2014-02",116.5723,0.391854510650269
"2014-03",117.7979,1.04587628624104
"2014-04",117.3998,-0.338524041842714
"2014-05",116.429,-0.83035586546627
"2014-06",115.4859,-0.813320057271483
"2014-07",114.9801,-0.438937467641587
"2014-08",114.3502,-0.549340042779978
"2014-09",112.5723,-1.56699875940838
"2014-10",111.9623,-0.543347440201813
"2014-11",112.0198,0.0513433897290305
"2014-12",112.9244,0.804292688091124
"2015-01",108.5803,-3.92285768522829
"2015-02",106.7905,-1.66210201544255
