"country","month","ip_index","ip_gr_yoy"
"Hungary","2001-12",59.4,-3.57142857142858
"Hungary","2002-01",59.7,-5.08744038155802
"Hungary","2002-02",63.1,1.93861066235865
"Hungary","2002-03",62.5,6.11205432937183
"Hungary","2002-04",62.3,1.96399345335514
"Hungary","2002-05",61.2,-1.44927536231884
"Hungary","2002-06",62.2,5.06756756756757
"Hungary","2002-07",63.3,7.28813559322032
"Hungary","2002-08",62.1,0.161290322580654
"Hungary","2002-09",63.6,8.71794871794873
"Hungary","2002-10",61,-1.61290322580645
"Hungary","2002-11",63.8,6.68896321070234
"Hungary","2002-12",64.6,8.75420875420874
"Hungary","2003-01",63.6,6.53266331658291
"Hungary","2003-02",63.3,0.316957210776536
"Hungary","2003-03",65,4
"Hungary","2003-04",64.3,3.21027287319422
"Hungary","2003-05",64,4.57516339869282
"Hungary","2003-06",66.1,6.2700964630225
"Hungary","2003-07",66.3,4.739336492891
"Hungary","2003-08",68.3,9.98389694041868
"Hungary","2003-09",67.5,6.13207547169812
"Hungary","2003-10",68.1,11.6393442622951
"Hungary","2003-11",69,8.15047021943574
"Hungary","2003-12",72.2,11.764705882353
"Hungary","2004-01",69.9,9.90566037735849
"Hungary","2004-02",70.8,11.8483412322275
"Hungary","2004-03",70.4,8.30769230769233
"Hungary","2004-04",70.7,9.95334370139971
"Hungary","2004-05",70.7,10.46875
"Hungary","2004-06",71.2,7.71558245083208
"Hungary","2004-07",70.9,6.93815987933637
"Hungary","2004-08",70.9,3.80673499267936
"Hungary","2004-09",71.5,5.92592592592593
"Hungary","2004-10",72.7,6.75477239353892
"Hungary","2004-11",73,5.79710144927537
"Hungary","2004-12",71.3,-1.24653739612189
"Hungary","2005-01",72.9,4.29184549356223
"Hungary","2005-02",72.1,1.8361581920904
"Hungary","2005-03",73.7,4.6875
"Hungary","2005-04",76.4,8.06223479490806
"Hungary","2005-05",77.2,9.19377652050919
"Hungary","2005-06",75.7,6.32022471910112
"Hungary","2005-07",76.2,7.47531734837799
"Hungary","2005-08",76.1,7.33427362482368
"Hungary","2005-09",77.5,8.3916083916084
"Hungary","2005-10",78.9,8.52819807427785
"Hungary","2005-11",78.7,7.80821917808219
"Hungary","2005-12",78.6,10.2384291725105
"Hungary","2006-01",79.2,8.64197530864197
"Hungary","2006-02",80,10.9570041608877
"Hungary","2006-03",82.8,12.3473541383989
