"country","month","ip_index","ip_gr_yoy"
"Hungary","1996-06",NA,NA
"Hungary","1996-07",NA,NA
"Hungary","1996-08",NA,NA
"Hungary","1996-09",NA,NA
"Hungary","1996-10",NA,NA
"Hungary","1996-11",NA,NA
"Hungary","1996-12",NA,NA
"Hungary","1997-01",NA,NA
"Hungary","1997-02",NA,NA
"Hungary","1997-03",NA,NA
"Hungary","1997-04",NA,NA
"Hungary","1997-05",NA,NA
"Hungary","1997-06",NA,NA
"Hungary","1997-07",NA,NA
"Hungary","1997-08",NA,NA
"Hungary","1997-09",NA,NA
"Hungary","1997-10",NA,NA
"Hungary","1997-11",NA,NA
"Hungary","1997-12",NA,NA
"Hungary","1998-01",NA,NA
"Hungary","1998-02",NA,NA
"Hungary","1998-03",NA,NA
"Hungary","1998-04",NA,NA
"Hungary","1998-05",NA,NA
"Hungary","1998-06",NA,NA
"Hungary","1998-07",NA,NA
"Hungary","1998-08",NA,NA
"Hungary","1998-09",NA,NA
"Hungary","1998-10",NA,NA
"Hungary","1998-11",NA,NA
"Hungary","1998-12",NA,NA
"Hungary","1999-01",NA,NA
"Hungary","1999-02",NA,NA
"Hungary","1999-03",NA,NA
"Hungary","1999-04",NA,NA
"Hungary","1999-05",NA,NA
"Hungary","1999-06",NA,NA
"Hungary","1999-07",NA,NA
"Hungary","1999-08",NA,NA
"Hungary","1999-09",NA,NA
"Hungary","1999-10",NA,NA
"Hungary","1999-11",NA,NA
"Hungary","1999-12",NA,NA
"Hungary","2000-01",53.7,NA
"Hungary","2000-02",53.9,NA
"Hungary","2000-03",56.3,NA
"Hungary","2000-04",55.7,NA
"Hungary","2000-05",57,NA
"Hungary","2000-06",58.7,NA
"Hungary","2000-07",59,NA
"Hungary","2000-08",59.3,NA
"Hungary","2000-09",61,NA
"Hungary","2000-10",60.1,NA
"Hungary","2000-11",61.1,NA
"Hungary","2000-12",61.6,NA
"Hungary","2001-01",62.9,17.1322160148976
"Hungary","2001-02",61.9,14.8423005565863
"Hungary","2001-03",58.9,4.61811722912966
"Hungary","2001-04",61.1,9.69479353680431
"Hungary","2001-05",62.1,8.94736842105264
"Hungary","2001-06",59.2,0.851788756388405
"Hungary","2001-07",59,0
"Hungary","2001-08",62,4.55311973018551
"Hungary","2001-09",58.5,-4.09836065573771
"Hungary","2001-10",62,3.16139767054908
"Hungary","2001-11",59.8,-2.12765957446809
