"month","neer","geo","currency","dln_neer"
"2011-06",1.9558,"BG","BGN",0
"2011-07",1.9558,"BG","BGN",0
"2011-08",1.9558,"BG","BGN",0
"2011-09",1.9558,"BG","BGN",0
"2011-10",1.9558,"BG","BGN",0
"2011-11",1.9558,"BG","BGN",0
"2011-12",1.9558,"BG","BGN",0
"2012-01",1.9558,"BG","BGN",0
"2012-02",1.9558,"BG","BGN",0
"2012-03",1.9558,"BG","BGN",0
"2012-04",1.9558,"BG","BGN",0
"2012-05",1.9558,"BG","BGN",0
"2012-06",1.9558,"BG","BGN",0
"2012-07",1.9558,"BG","BGN",0
"2012-08",1.9558,"BG","BGN",0
"2012-09",1.9558,"BG","BGN",0
"2012-10",1.9558,"BG","BGN",0
"2012-11",1.9558,"BG","BGN",0
"2012-12",1.9558,"BG","BGN",0
"2013-01",1.9558,"BG","BGN",0
"2013-02",1.9558,"BG","BGN",0
"2013-03",1.9558,"BG","BGN",0
"2013-04",1.9558,"BG","BGN",0
"2013-05",1.9558,"BG","BGN",0
"2013-06",1.9558,"BG","BGN",0
"2013-07",1.9558,"BG","BGN",0
"2013-08",1.9558,"BG","BGN",0
"2013-09",1.9558,"BG","BGN",0
"2013-10",1.9558,"BG","BGN",0
"2013-11",1.9558,"BG","BGN",0
"2013-12",1.9558,"BG","BGN",0
"2014-01",1.9558,"BG","BGN",0
"2014-02",1.9558,"BG","BGN",0
"2014-03",1.9558,"BG","BGN",0
"2014-04",1.9558,"BG","BGN",0
"2014-05",1.9558,"BG","BGN",0
"2014-06",1.9558,"BG","BGN",0
"2014-07",1.9558,"BG","BGN",0
"2014-08",1.9558,"BG","BGN",0
"2014-09",1.9558,"BG","BGN",0
"2014-10",1.9558,"BG","BGN",0
"2014-11",1.9558,"BG","BGN",0
"2014-12",1.9558,"BG","BGN",0
"2015-01",1.9558,"BG","BGN",0
"2015-02",1.9558,"BG","BGN",0
"2015-03",1.9558,"BG","BGN",0
"2015-04",1.9558,"BG","BGN",0
"2015-05",1.9558,"BG","BGN",0
"2015-06",1.9558,"BG","BGN",0
"2015-07",1.9558,"BG","BGN",0
"2015-08",1.9558,"BG","BGN",0
"2015-09",1.9558,"BG","BGN",0
"2015-10",1.9558,"BG","BGN",0
"2015-11",1.9558,"BG","BGN",0
"2015-12",1.9558,"BG","BGN",0
"2016-01",1.9558,"BG","BGN",0
"2016-02",1.9558,"BG","BGN",0
"2016-03",1.9558,"BG","BGN",0
"2016-04",1.9558,"BG","BGN",0
"2016-05",1.9558,"BG","BGN",0
"2016-06",1.9558,"BG","BGN",0
"2016-07",1.9558,"BG","BGN",0
"2016-08",1.9558,"BG","BGN",0
"2016-09",1.9558,"BG","BGN",0
"2016-10",1.9558,"BG","BGN",0
"2016-11",1.9558,"BG","BGN",0
"2016-12",1.9558,"BG","BGN",0
"2017-01",1.9558,"BG","BGN",0
"2017-02",1.9558,"BG","BGN",0
"2017-03",1.9558,"BG","BGN",0
"2017-04",1.9558,"BG","BGN",0
"2017-05",1.9558,"BG","BGN",0
"2017-06",1.9558,"BG","BGN",0
"2017-07",1.9558,"BG","BGN",0
"2017-08",1.9558,"BG","BGN",0
"2017-09",1.9558,"BG","BGN",0
"2017-10",1.9558,"BG","BGN",0
"2017-11",1.9558,"BG","BGN",0
"2017-12",1.9558,"BG","BGN",0
"2018-01",1.9558,"BG","BGN",0
"2018-02",1.9558,"BG","BGN",0
"2018-03",1.9558,"BG","BGN",0
"2018-04",1.9558,"BG","BGN",0
"2018-05",1.9558,"BG","BGN",0
"2018-06",1.9558,"BG","BGN",0
